Breed	 AverageDailyGain	 Backfat	 MuscleThikness	 FrontLegs	 BackLegs
Landrace	 0.7	 16.5	 57.4	 3	 4
Landrace	 0.71	 10.9	 63.7	 3	 4
Landrace	 0.82	 14.9	 59.1	 4	 4
Landrace	 0.85	 12.9	 59.1	 3	 4
Landrace	 0.97	 18.5	 55.4	 3	 3
Landrace	 0.79	 11.9	 57.4	 4	 4
Landrace	 0.54	 9.9	 58.1	 3	 3
Landrace	 0.79	 11.6	 60.4	 3	 3
Landrace	 0.84	 16.5	 59.7	 4	 3
Landrace	 0.76	 13.5	 58.7	 2	 3
Landrace	 0.69	 10.9	 56.4	 4	 3
Landrace	 0.75	 11.9	 56.1	 4	 3
Landrace	 0.68	 10.6	 53.5	 3	 3
Landrace	 0.76	 13.9	 57.4	 3	 3
Landrace	 0.73	 12.9	 63	 3	 4
Landrace	 0.69	 13.2	 58.4	 3	 3
Landrace	 0.7	 12.5	 57.1	 4	 4
Landrace	 0.8	 18.2	 70.9	 2	 3
Landrace	 0.72	 11.9	 62	 3	 2
Landrace	 0.6	 9.6	 60.1	 4	 4
Landrace	 0.61	 12.2	 54.8	 4	 4
Landrace	 0.76	 12.9	 67	 3	 3
Landrace	 0.62	 10.6	 51.5	 3	 3
Landrace	 0.63	 8.6	 54.8	 2	 2
Landrace	 0.64	 11.2	 54.8	 1	 2
Landrace	 0.85	 17.8	 56.8	 4	 4
Landrace	 0.65	 12.2	 59.7	 3	 3
Landrace	 0.77	 15.8	 60.1	 2	 2
Landrace	 0.57	 10.6	 68	 3	 3
Landrace	 0.8	 18.5	 57.1	 4	 4
Landrace	 0.95	 26.4	 66.7	 2	 3
Landrace	 0.53	 8.9	 55.4	 1	 3
Landrace	 0.84	 15.5	 54.1	 3	 3
Landrace	 0.7	 10.9	 55.1	 4	 4
Landrace	 0.59	 11.2	 56.4	 3	 3
Landrace	 0.74	 11.9	 59.4	 3	 3
Landrace	 0.76	 15.5	 59.1	 4	 3
Landrace	 0.81	 14.2	 59.7	 1	 1
Landrace	 0.73	 14.9	 64.3	 3	 3
Landrace	 0.59	 8.9	 55.1	 2	 2
Landrace	 0.69	 15.2	 60.7	 3	 3
Landrace	 0.8	 13.5	 55.8	 3	 3
Landrace	 0.69	 11.6	 63.7	 4	 3
Landrace	 0.88	 17.2	 58.1	 4	 4
Landrace	 0.8	 12.9	 65	 3	 3
Landrace	 0.75	 13.9	 60.1	 3	 3
Landrace	 0.64	 12.5	 59.4	 3	 3
Landrace	 0.75	 13.5	 69	 3	 3
Landrace	 0.52	 9.2	 50.2	 3	 3
Landrace	 0.69	 12.2	 61	 1	 2
Landrace	 0.69	 11.9	 60.7	 3	 3
Landrace	 0.68	 8.6	 61	 3	 3
Landrace	 0.77	 11.2	 69	 2	 3
Landrace	 0.6	 8.9	 57.1	 4	 4
Landrace	 0.66	 11.2	 57.1	 4	 4
Landrace	 0.81	 12.9	 59.1	 3	 3
Landrace	 0.74	 12.2	 64.3	 2	 3
Landrace	 0.68	 10.6	 59.1	 4	 4
Landrace	 0.65	 10.9	 55.1	 3	 3
Landrace	 0.67	 8.6	 57.4	 3	 3
Landrace	 0.61	 10.6	 53.5	 3	 3
Landrace	 0.68	 11.2	 56.8	 3	 3
Landrace	 0.76	 12.5	 62	 4	 4
Landrace	 0.72	 13.2	 68	 4	 3
Landrace	 0.69	 10.9	 55.1	 3	 3
Landrace	 0.8	 9.6	 61.7	 3	 3
Landrace	 0.93	 11.9	 68	 3	 3
Landrace	 0.82	 10.9	 59.7	 3	 3
Landrace	 0.8	 12.2	 55.8	 4	 4
Landrace	 0.84	 14.5	 57.7	 4	 4
Landrace	 0.83	 19.1	 62.7	 3	 3
Landrace	 0.82	 11.6	 59.1	 2	 3
Landrace	 0.74	 12.5	 62	 4	 4
Landrace	 0.71	 13.9	 56.1	 3	 4
Landrace	 0.8	 15.8	 70.6	 2	 2
Landrace	 0.9	 19.8	 62	 3	 3
Landrace	 0.89	 16.8	 57.1	 3	 3
Landrace	 0.83	 16.5	 61.7	 3	 3
Landrace	 0.96	 20.8	 65.7	 3	 3
Landrace	 0.69	 13.5	 58.4	 4	 4
Landrace	 0.82	 17.5	 54.4	 3	 3
Landrace	 0.83	 15.2	 60.4	 3	 3
Landrace	 0.69	 17.5	 56.4	 3	 3
Landrace	 0.66	 9.2	 50.8	 4	 4
Landrace	 0.73	 10.6	 59.4	 4	 4
Landrace	 0.75	 10.6	 64	 3	 3
Landrace	 0.64	 14.2	 59.7	 3	 3
Landrace	 0.81	 14.5	 68	 4	 4
Landrace	 0.71	 15.8	 58.1	 3	 3
Landrace	 0.76	 20.5	 64	 3	 3
Landrace	 0.73	 14.2	 59.7	 3	 3
Landrace	 0.79	 13.9	 51.5	 3	 3
Landrace	 0.8	 12.5	 51.5	 4	 4
Landrace	 0.81	 16.2	 58.7	 4	 4
Landrace	 0.74	 13.2	 63	 2	 3
Landrace	 0.8	 14.5	 59.4	 4	 4
Landrace	 0.61	 10.6	 50.8	 2	 2
Landrace	 0.7	 10.2	 60.4	 3	 3
Landrace	 0.68	 9.9	 58.7	 3	 3
Landrace	 0.73	 11.2	 67.6	 4	 4
Landrace	 0.73	 8.6	 61	 3	 4
Landrace	 0.68	 12.5	 60.7	 4	 4
Landrace	 0.81	 9.6	 68.3	 4	 3
Landrace	 0.78	 13.9	 62	 3	 4
Landrace	 0.76	 14.9	 57.7	 3	 3
Landrace	 0.77	 16.8	 61	 3	 3
Landrace	 0.77	 14.2	 58.4	 4	 4
Landrace	 0.85	 14.9	 67	 4	 3
Landrace	 0.7	 10.9	 52.8	 3	 3
Landrace	 0.71	 11.6	 59.1	 2	 2
Landrace	 0.69	 12.9	 57.7	 3	 3
Landrace	 0.6	 11.6	 56.4	 3	 3
Landrace	 0.65	 12.2	 55.1	 3	 2
Landrace	 0.83	 16.8	 53.8	 4	 3
Landrace	 0.81	 16.8	 52.8	 3	 2
Landrace	 0.74	 15.8	 61.7	 3	 3
Landrace	 0.82	 15.8	 56.4	 2	 2
Landrace	 0.72	 13.5	 65.7	 4	 3
Landrace	 0.76	 10.9	 57.1	 3	 2
Landrace	 0.89	 14.9	 65	 4	 3
Landrace	 0.62	 9.9	 52.5	 3	 3
Landrace	 0.71	 11.6	 59.4	 3	 4
Landrace	 0.79	 12.9	 63.7	 3	 3
Landrace	 0.64	 10.9	 59.4	 3	 3
Landrace	 0.79	 12.9	 56.4	 2	 2
Landrace	 0.94	 17.5	 62.7	 4	 3
Landrace	 0.73	 15.5	 59.4	 3	 3
Landrace	 0.79	 14.2	 59.7	 4	 4
Landrace	 0.74	 17.8	 56.1	 4	 3
Landrace	 0.76	 14.5	 54.4	 3	 3
Landrace	 0.72	 11.9	 52.1	 2	 2
Landrace	 0.7	 12.2	 66.7	 3	 2
Landrace	 0.72	 13.9	 65.7	 4	 3
Landrace	 0.64	 14.5	 56.1	 4	 4
Landrace	 0.9	 17.8	 63.4	 4	 3
Landrace	 0.79	 16.2	 67	 3	 3
Landrace	 0.77	 14.9	 53.1	 4	 3
Landrace	 0.74	 10.6	 57.7	 2	 2
Landrace	 0.59	 8.6	 63.7	 4	 3
Landrace	 0.73	 12.9	 55.8	 3	 3
Landrace	 0.77	 12.9	 62	 3	 3
Landrace	 0.76	 13.9	 53.5	 3	 3
Landrace	 0.85	 20.1	 58.7	 3	 3
Landrace	 0.75	 17.8	 59.1	 3	 3
Landrace	 0.79	 14.9	 51.5	 3	 3
Landrace	 0.86	 16.5	 59.1	 3	 3
Landrace	 0.9	 19.1	 66	 4	 3
Landrace	 0.69	 12.2	 57.4	 3	 4
Landrace	 0.87	 16.8	 66	 3	 3
Landrace	 0.86	 14.9	 61.4	 3	 3
Landrace	 0.74	 13.5	 62.4	 4	 4
Landrace	 0.71	 14.9	 57.1	 3	 3
Landrace	 0.75	 18.5	 65.7	 3	 3
Landrace	 0.81	 16.5	 58.1	 3	 3
Landrace	 0.67	 13.9	 59.7	 4	 4
Landrace	 0.7	 12.2	 60.1	 2	 2
Landrace	 0.63	 10.9	 52.8	 3	 4
Landrace	 0.74	 15.5	 68.6	 3	 3
Landrace	 0.71	 16.8	 57.4	 4	 3
Landrace	 0.85	 14.2	 58.4	 2	 2
Landrace	 0.79	 17.8	 56.4	 2	 3
Landrace	 0.68	 8.9	 66	 4	 4
Landrace	 0.82	 12.9	 64.3	 4	 4
Landrace	 0.77	 14.2	 60.7	 2	 3
Landrace	 0.66	 10.6	 58.7	 3	 4
Landrace	 0.79	 12.9	 62.7	 4	 3
Landrace	 0.71	 14.9	 59.7	 3	 4
Landrace	 0.73	 20.8	 61.7	 3	 3
Landrace	 0.84	 26.1	 62.4	 3	 4
Landrace	 0.82	 18.8	 63	 3	 4
Landrace	 0.71	 16.2	 64	 3	 4
Landrace	 0.74	 18.8	 56.4	 3	 4
Landrace	 1.01	 17.2	 63.4	 3	 3
Landrace	 0.75	 11.2	 62.4	 4	 4
Landrace	 0.8	 4.6	 54.1	 3	 3
Landrace	 0.85	 16.2	 58.1	 4	 4
Landrace	 0.79	 8.6	 62.4	 3	 3
Landrace	 0.61	 9.2	 52.8	 4	 4
Landrace	 0.76	 12.5	 60.4	 3	 3
Landrace	 0.73	 14.9	 62	 3	 3
Landrace	 0.63	 5.9	 64	 2	 3
Landrace	 0.76	 17.8	 60.4	 3	 3
Landrace	 0.74	 9.9	 57.7	 4	 3
Landrace	 0.82	 15.5	 56.4	 4	 4
Landrace	 0.76	 10.6	 55.8	 4	 4
Landrace	 0.93	 11.9	 62	 3	 3
Landrace	 0.69	 14.9	 66.3	 2	 2
Landrace	 0.65	 12.9	 58.7	 4	 3
Landrace	 0.84	 13.5	 65.7	 3	 3
Landrace	 0.68	 13.2	 49.8	 4	 3
Landrace	 0.7	 14.9	 52.5	 3	 3
Landrace	 0.8	 16.2	 55.3	 4	 3
Landrace	 0.81	 13.9	 56.8	 3	 4
Landrace	 0.77	 18.2	 67	 4	 4
Landrace	 0.62	 14.2	 62.4	 3	 3
Landrace	 0.65	 16.5	 58.7	 3	 3
Landrace	 0.65	 18.2	 77.5	 3	 3
Landrace	 0.8	 12.5	 58.7	 3	 2
Landrace	 0.52	 10.9	 45.9	 3	 3
Landrace	 0.72	 16.2	 53.5	 3	 3
Landrace	 0.62	 12.2	 58.1	 4	 3
Landrace	 0.54	 9.6	 53.5	 3	 3
Landrace	 0.58	 11.9	 49.8	 3	 3
Landrace	 0.63	 14.2	 57.7	 3	 2
Landrace	 0.6	 11.2	 50.2	 3	 2
Landrace	 0.76	 14.2	 58.1	 4	 4
Landrace	 0.84	 15.5	 67	 3	 3
Landrace	 0.81	 9.6	 66.7	 3	 3
Landrace	 0.67	 15.2	 53.8	 3	 3
Landrace	 0.78	 17.5	 64	 3	 2
Landrace	 0.73	 15.2	 59.4	 4	 3
Landrace	 0.62	 12.2	 54.1	 3	 3
Landrace	 0.77	 13.9	 61.7	 3	 3
Landrace	 0.84	 12.9	 58.7	 3	 3
Landrace	 0.61	 16.8	 49.5	 2	 2
Landrace	 0.51	 13.5	 56.8	 3	 3
Landrace	 0.63	 13.5	 58.1	 2	 3
Landrace	 0.52	 8.3	 52.5	 3	 3
Landrace	 0.79	 14.5	 57.4	 4	 4
Landrace	 0.72	 11.6	 56.4	 3	 3
Landrace	 0.75	 12.2	 63.7	 3	 3
Landrace	 0.79	 11.2	 58.7	 4	 4
Landrace	 0.62	 11.2	 58.7	 2	 2
Landrace	 0.66	 11.6	 61.7	 4	 4
Landrace	 0.7	 10.6	 62	 4	 4
Landrace	 0.65	 9.5	 60.1	 3	 3
Landrace	 0.68	 11.6	 61	 4	 3
Landrace	 0.79	 14.5	 55.1	 3	 3
Landrace	 0.71	 14.2	 39.9	 3	 3
Landrace	 0.75	 13.9	 60.4	 3	 3
Landrace	 0.93	 19.8	 60.4	 2	 2
Landrace	 0.75	 13.2	 56.8	 3	 3
Landrace	 0.93	 19.8	 61	 3	 2
Landrace	 0.69	 10.2	 61	 4	 4
Landrace	 0.76	 12.9	 56.8	 3	 4
Landrace	 0.55	 12.2	 53.8	 3	 3
Landrace	 0.9	 21.8	 70	 3	 3
Landrace	 0.84	 13.9	 66.7	 3	 4
Landrace	 0.77	 15.2	 62.4	 4	 4
Landrace	 0.76	 9.6	 64.3	 3	 3
Landrace	 0.63	 10.6	 60.7	 4	 4
Landrace	 0.88	 13.2	 57.4	 3	 2
Landrace	 0.78	 12.2	 62	 2	 2
Landrace	 0.91	 18.2	 61.4	 4	 4
Landrace	 0.92	 9.6	 68.3	 2	 2
Landrace	 0.64	 9.6	 56.8	 3	 3
Landrace	 0.92	 16.2	 62.7	 4	 4
Landrace	 0.79	 13.2	 55.4	 4	 3
Landrace	 0.76	 14.9	 58.4	 4	 3
Landrace	 0.63	 10.9	 55.4	 3	 3
Landrace	 0.78	 11.6	 56.8	 4	 4
Landrace	 0.55	 10.6	 62	 3	 3
Landrace	 0.81	 10.9	 58.7	 4	 4
Landrace	 0.65	 13.2	 57.1	 4	 4
Landrace	 0.63	 15.2	 53.5	 2	 3
Landrace	 0.62	 11.2	 56.4	 4	 4
Landrace	 0.69	 13.2	 60.1	 3	 3
Landrace	 0.63	 13.2	 56.1	 4	 3
Landrace	 0.69	 10.6	 60.7	 4	 4
Landrace	 0.87	 23.4	 67.6	 4	 4
Landrace	 0.6	 8.9	 60.1	 4	 3
Landrace	 0.76	 18.8	 68.6	 3	 3
Landrace	 0.6	 12.5	 54.1	 3	 3
Landrace	 0.91	 18.8	 59.7	 2	 2
Landrace	 0.58	 13.2	 58.1	 3	 3
Landrace	 0.73	 17.2	 59.4	 4	 3
Landrace	 0.76	 18.2	 63	 3	 3
Landrace	 0.81	 16.8	 64.7	 4	 3
Landrace	 0.56	 13.2	 65	 3	 3
Landrace	 0.74	 7.6	 60.1	 3	 2
Landrace	 0.8	 11.6	 63.7	 3	 3
Landrace	 0.67	 9.9	 53.8	 4	 3
Landrace	 0.7	 14.5	 57.4	 3	 2
Landrace	 0.72	 9.9	 61	 2	 2
Landrace	 0.88	 17.5	 51.8	 4	 4
Landrace	 0.75	 8.9	 70.6	 4	 4
Landrace	 0.66	 10.2	 58.4	 3	 3
Landrace	 0.64	 7.3	 61.7	 4	 3
Landrace	 0.73	 9.2	 70.6	 4	 3
Landrace	 0.79	 16.8	 60.4	 4	 4
Landrace	 0.54	 10.9	 62.4	 3	 3
Landrace	 0.55	 13.9	 61.4	 3	 3
Landrace	 0.7	 14.5	 60.1	 4	 4
Landrace	 0.59	 15.5	 58.1	 2	 2
Landrace	 0.69	 14.2	 57.1	 3	 2
Landrace	 0.51	 7.9	 50.2	 4	 4
Landrace	 0.77	 13.2	 56.4	 4	 4
Landrace	 0.89	 12.5	 59.7	 4	 4
Landrace	 0.73	 19.5	 66	 3	 3
Landrace	 0.79	 11.2	 62.7	 3	 3
Landrace	 0.56	 11.9	 60.7	 3	 3
Landrace	 0.67	 11.2	 59.4	 4	 4
Landrace	 0.61	 10.9	 55.1	 4	 4
Landrace	 0.83	 10.2	 65.3	 4	 4
Landrace	 0.79	 12.2	 56.8	 3	 2
Landrace	 0.95	 18.5	 73.3	 3	 3
Landrace	 0.77	 11.9	 61.4	 4	 4
Landrace	 0.73	 19.1	 67.6	 1	 1
Landrace	 0.92	 15.2	 62.7	 3	 4
Landrace	 0.7	 13.5	 63	 2	 2
Landrace	 0.78	 15.2	 58.1	 3	 3
Landrace	 0.85	 16.2	 62.4	 4	 4
Landrace	 0.76	 16.2	 63.4	 4	 4
Landrace	 0.84	 22.4	 62	 3	 3
Landrace	 0.84	 14.5	 59.1	 4	 4
Landrace	 0.82	 15.5	 62.7	 4	 4
Landrace	 0.79	 14.5	 62.4	 4	 4
Landrace	 0.77	 12.9	 58.7	 4	 4
Landrace	 0.84	 14.9	 63.7	 3	 4
Landrace	 0.8	 18.2	 70	 2	 2
Landrace	 0.61	 13.5	 58.4	 4	 4
Landrace	 0.76	 16.8	 61	 4	 4
Landrace	 0.76	 14.5	 53.1	 3	 3
Landrace	 0.63	 10.2	 51.8	 1	 1
Landrace	 0.72	 10.9	 60.7	 3	 4
Landrace	 0.81	 13.9	 47.5	 3	 2
Landrace	 0.7	 14.2	 57.7	 4	 4
Landrace	 0.66	 17.2	 65.7	 3	 3
Landrace	 0.88	 16.5	 57.7	 3	 3
Landrace	 0.75	 11.6	 52.8	 3	 3
Landrace	 0.89	 12.2	 61.4	 3	 3
Landrace	 0.78	 12.5	 60.1	 3	 3
Landrace	 0.85	 14.2	 60.4	 3	 3
Landrace	 0.86	 17.5	 60.1	 3	 3
Landrace	 0.79	 12.9	 58.7	 3	 3
Landrace	 0.96	 14.9	 61.7	 3	 3
Landrace	 0.77	 11.9	 65.7	 3	 3
Landrace	 0.71	 15.5	 64.7	 3	 3
Landrace	 0.75	 11.6	 58.4	 3	 3
Landrace	 0.91	 11.2	 64	 3	 3
Landrace	 0.79	 12.9	 61.4	 3	 3
Landrace	 0.86	 15.2	 65.3	 3	 2
Landrace	 0.96	 16.2	 62.4	 4	 4
Landrace	 0.79	 13.9	 51.5	 3	 3
Landrace	 0.9	 12.9	 64.7	 4	 4
Landrace	 0.9	 16.8	 67.6	 4	 4
Landrace	 0.81	 17.5	 60.1	 4	 4
Landrace	 0.95	 15.2	 62	 3	 3
Landrace	 0.89	 16.2	 55.8	 3	 3
Landrace	 0.8	 21.1	 68.6	 3	 3
Landrace	 0.72	 10.2	 51.8	 3	 3
Landrace	 0.78	 9.9	 63.4	 3	 3
Landrace	 0.78	 12.5	 59.7	 4	 3
Landrace	 0.75	 13.2	 59.1	 2	 3
Landrace	 0.8	 15.2	 67.3	 3	 3
Landrace	 0.63	 8.9	 50.5	 3	 3
Landrace	 0.86	 16.5	 57.7	 3	 3
Landrace	 0.81	 14.2	 63.4	 3	 3
Landrace	 0.79	 15.8	 59.4	 3	 3
Landrace	 0.83	 12.9	 60.7	 3	 3
Landrace	 0.79	 12.2	 58.1	 3	 4
Landrace	 0.98	 12.9	 69.3	 3	 3
Landrace	 0.86	 15.5	 60.7	 3	 2
Landrace	 0.84	 13.2	 64.3	 3	 3
Landrace	 0.97	 18.8	 59.7	 3	 3
Landrace	 0.8	 15.5	 60.7	 3	 2
Landrace	 0.84	 18.2	 60.4	 3	 3
Landrace	 0.94	 16.2	 59.7	 3	 3
Landrace	 0.74	 10.6	 61	 3	 3
Landrace	 0.89	 17.5	 55.8	 3	 3
Landrace	 0.84	 12.9	 55.8	 3	 3
Landrace	 0.81	 11.2	 58.4	 3	 3
Landrace	 0.75	 10.2	 55.8	 3	 3
Landrace	 0.92	 14.2	 60.4	 3	 3
Landrace	 0.59	 9.2	 56.8	 3	 3
Landrace	 0.86	 15.8	 61.4	 3	 3
Landrace	 0.81	 12.9	 59.1	 3	 3
Landrace	 0.85	 13.9	 56.1	 3	 3
Landrace	 0.66	 8.6	 50.5	 3	 3
Landrace	 0.61	 7.9	 96	 3	 3
Landrace	 0.74	 12.9	 59.4	 3	 3
Landrace	 0.76	 13.9	 60.7	 3	 3
Landrace	 0.98	 14.5	 71.9	 3	 3
Landrace	 0.8	 17.8	 69.6	 3	 4
Landrace	 0.67	 11.9	 58.4	 3	 3
Landrace	 0.71	 6.6	 54.8	 3	 4
Landrace	 0.85	 7.9	 56.8	 4	 4
Landrace	 0.8	 11.9	 56.4	 3	 4
Landrace	 0.76	 7.6	 54.4	 4	 3
Landrace	 0.84	 10.9	 62.4	 3	 4
Landrace	 0.82	 11.9	 54.1	 3	 4
Landrace	 0.92	 18.2	 64.3	 3	 3
Landrace	 0.91	 14.5	 63.7	 3	 2
Landrace	 0.86	 12.9	 53.5	 4	 4
Landrace	 0.79	 15.2	 56.1	 3	 4
Landrace	 0.85	 11.2	 63	 3	 3
Landrace	 0.86	 10.6	 58.1	 3	 4
Landrace	 0.8	 10.9	 62	 3	 4
Landrace	 0.7	 9.2	 54.1	 3	 4
Landrace	 0.81	 10.2	 59.1	 3	 3
Landrace	 0.71	 11.2	 57.4	 3	 4
Landrace	 0.68	 15.5	 56.4	 3	 3
Landrace	 0.71	 7.6	 56.4	 3	 4
Landrace	 0.72	 9.6	 69	 3	 3
Landrace	 0.69	 6.6	 63.4	 3	 4
Landrace	 0.89	 20.5	 69	 3	 3
Landrace	 0.79	 16.2	 62.4	 4	 4
Landrace	 0.79	 16.5	 65.3	 3	 3
Landrace	 0.77	 16.8	 65.7	 4	 4
Landrace	 0.68	 9.6	 58.4	 3	 3
Landrace	 0.88	 11.2	 55.4	 4	 4
Landrace	 0.82	 16.5	 63	 3	 3
Landrace	 0.75	 13.5	 64.7	 4	 4
Landrace	 0.68	 9.9	 61.4	 3	 3
Landrace	 0.59	 11.6	 60.1	 3	 4
Landrace	 0.68	 12.2	 57.1	 3	 3
Landrace	 0.77	 10.6	 60.7	 3	 4
Landrace	 0.64	 15.8	 56.8	 3	 4
Landrace	 0.79	 18.5	 63	 3	 3
Landrace	 0.68	 13.5	 62	 3	 3
Landrace	 0.66	 11.9	 61.7	 3	 4
Landrace	 0.79	 27.1	 62	 4	 4
Landrace	 0.75	 16.2	 68	 3	 3
Landrace	 0.79	 13.5	 60.1	 4	 4
Landrace	 0.71	 20.5	 56.8	 3	 3
Landrace	 0.59	 6.9	 61.4	 3	 3
Landrace	 0.75	 8.9	 64	 3	 4
Landrace	 0.84	 17.2	 69	 3	 4
Landrace	 0.71	 7.6	 71.3	 3	 2
Landrace	 0.58	 6.6	 47.5	 4	 4
Landrace	 0.77	 10.9	 60.7	 3	 4
Landrace	 0.74	 18.2	 51.1	 3	 4
Landrace	 0.87	 13.5	 58.1	 3	 3
Landrace	 0.76	 13.9	 54.4	 3	 4
Landrace	 0.97	 8.9	 53.8	 3	 3
Landrace	 0.8	 10.6	 52.1	 3	 3
Landrace	 0.68	 8.9	 53.1	 3	 3
Landrace	 0.8	 13.5	 57.4	 3	 3
Landrace	 0.75	 13.5	 59.4	 4	 4
Landrace	 0.71	 7.3	 53.5	 3	 2
Landrace	 0.85	 10.9	 59.7	 3	 3
Landrace	 0.8	 11.2	 62.4	 3	 3
Landrace	 0.73	 11.9	 58.7	 3	 3
Landrace	 0.87	 6.6	 58.7	 3	 3
Landrace	 0.81	 12.5	 63.7	 3	 3
Landrace	 1.03	 16.5	 63	 2	 3
Landrace	 0.78	 15.2	 52.8	 3	 3
Landrace	 0.8	 14.5	 54.4	 3	 3
Landrace	 0.82	 12.9	 61	 3	 3
Landrace	 0.86	 11.2	 61.4	 3	 3
Landrace	 0.96	 14.9	 64.7	 4	 4
Landrace	 0.68	 8.3	 61	 3	 3
Landrace	 0.57	 12.2	 60.1	 3	 3
Landrace	 0.79	 12.5	 53.1	 4	 3
Landrace	 0.71	 8.3	 62.4	 3	 2
Landrace	 0.77	 11.2	 55.8	 3	 3
Landrace	 0.79	 13.9	 59.1	 3	 3
Landrace	 0.71	 9.2	 48.2	 3	 2
Landrace	 0.68	 10.2	 55.1	 3	 3
Landrace	 0.75	 11.2	 49.5	 3	 3
Landrace	 0.72	 7.9	 49.2	 3	 3
Landrace	 0.86	 16.2	 65.3	 3	 4
Landrace	 0.77	 13.5	 64.3	 3	 3
Landrace	 0.52	 9.9	 53.8	 3	 3
Landrace	 0.76	 11.2	 60.7	 3	 3
Landrace	 0.57	 8.9	 57.4	 3	 3
Landrace	 0.54	 6.9	 59.7	 3	 3
Landrace	 0.83	 11.6	 57.4	 3	 3
Landrace	 0.74	 9.2	 57.1	 3	 3
Landrace	 0.84	 11.9	 63.7	 3	 3
Landrace	 0.78	 15.8	 62	 3	 3
Landrace	 0.6	 12.9	 55.4	 3	 3
Landrace	 0.74	 15.2	 59.4	 3	 4
Landrace	 0.72	 8.9	 60.7	 3	 3
Landrace	 0.8	 16.2	 62.4	 3	 3
Landrace	 0.63	 9.9	 52.8	 3	 3
Landrace	 0.69	 10.6	 52.1	 3	 3
Landrace	 0.79	 14.2	 58.1	 3	 3
Landrace	 0.91	 9.6	 64	 3	 3
Landrace	 0.82	 15.2	 63	 3	 3
Landrace	 0.58	 10.9	 59.1	 3	 3
Landrace	 0.74	 10.2	 54.8	 3	 3
Landrace	 0.75	 9.2	 60.4	 3	 3
Landrace	 0.82	 13.5	 66.7	 3	 3
LW	 0.57	 8.3	 52.5	 3	 1
LW	 0.79	 15.5	 62.7	 2	 1
LW	 0.64	 7.9	 57.7	 3	 3
LW	 0.77	 8.3	 69.3	 4	 4
LW	 0.65	 7.6	 62	 3	 3
LW	 0.73	 9.9	 63.7	 2	 2
LW	 0.77	 10.9	 58.7	 3	 3
LW	 0.86	 12.5	 66.3	 3	 3
LW	 0.83	 10.9	 63.4	 3	 3
LW	 0.91	 9.6	 62.4	 4	 3
LW	 0.59	 7.3	 51.5	 3	 3
LW	 0.59	 7.6	 54.1	 2	 2
LW	 0.76	 12.2	 66.3	 3	 3
LW	 0.84	 8.9	 64.3	 4	 4
LW	 0.77	 9.2	 61.7	 4	 4
LW	 0.62	 9.2	 58.4	 3	 3
LW	 0.76	 12.2	 62	 4	 4
LW	 0.79	 14.9	 58.1	 4	 4
LW	 0.78	 10.2	 62	 4	 4
LW	 0.81	 9.2	 64	 4	 4
LW	 0.81	 11.2	 64.3	 4	 3
LW	 0.61	 8.3	 59.7	 3	 3
LW	 0.6	 10.6	 53.5	 4	 3
LW	 0.74	 15.5	 56.8	 3	 3
LW	 0.7	 8.9	 55.1	 2	 2
LW	 0.68	 9.6	 52.5	 4	 3
LW	 0.74	 8.9	 60.4	 4	 3
LW	 0.76	 10.2	 64.3	 3	 3
LW	 0.75	 11.9	 56.1	 3	 3
LW	 0.71	 12.9	 59.1	 3	 3
LW	 0.76	 10.6	 55.4	 4	 4
LW	 0.91	 11.2	 59.4	 4	 4
LW	 0.77	 12.9	 59.1	 4	 4
LW	 0.79	 8.3	 64.3	 3	 4
LW	 0.74	 11.9	 60.1	 4	 4
LW	 0.91	 11.6	 66.3	 4	 4
LW	 0.91	 13.9	 60.1	 4	 4
LW	 0.66	 9.6	 53.8	 4	 4
LW	 0.74	 7.3	 60.4	 3	 3
LW	 0.79	 9.9	 57.7	 3	 3
LW	 0.85	 11.6	 62.7	 4	 3
LW	 0.77	 8.9	 63.4	 3	 2
LW	 0.79	 10.6	 63.7	 3	 3
LW	 0.64	 10.2	 60.4	 3	 3
LW	 0.79	 9.9	 64.7	 4	 3
LW	 0.76	 10.9	 63	 3	 3
LW	 0.74	 14.9	 69.3	 2	 2
LW	 0.7	 11.2	 55.8	 4	 4
LW	 0.9	 15.8	 68.3	 3	 3
LW	 0.62	 9.6	 53.8	 3	 3
LW	 0.64	 12.9	 53.1	 4	 4
LW	 0.78	 10.6	 55.1	 3	 3
LW	 0.85	 10.2	 64	 4	 4
LW	 0.72	 9.9	 60.7	 3	 3
LW	 0.9	 10.6	 62	 1	 1
LW	 0.7	 9.9	 56.1	 2	 2
LW	 0.91	 12.2	 55.8	 3	 3
LW	 0.62	 8.6	 50.5	 2	 3
LW	 0.73	 8.3	 60.1	 4	 4
LW	 0.6	 6.6	 55.1	 3	 3
LW	 0.56	 6.9	 48.5	 3	 3
LW	 0.67	 10.6	 59.7	 3	 3
LW	 0.59	 8.9	 63.4	 3	 3
LW	 0.7	 8.9	 62.7	 3	 3
LW	 0.64	 11.6	 63.4	 3	 3
LW	 0.7	 12.2	 58.7	 3	 3
LW	 0.58	 9.6	 57.4	 3	 3
LW	 0.71	 9.6	 62	 4	 4
LW	 0.71	 11.6	 61	 2	 3
LW	 0.79	 11.6	 63	 4	 4
LW	 0.72	 9.9	 65.7	 3	 2
LW	 0.73	 8.9	 56.8	 4	 4
LW	 0.74	 9.6	 59.4	 4	 4
LW	 0.79	 11.9	 54.8	 4	 4
